|rok  |odvetvi                                                     |typ_platu                         |prumerny_plat |mezirocni_trend|prumerny_plat_predchozi_rok|prumerna_mezirocni_zmena_platu_abs|prumerna_mezirocni_zmena_platu_procentne|
|2,010|Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|22,680.50,- Kč|Rostoucí       |21,825.25,- Kč             |855.25,- Kč                       |3.919 %                                 |
|2,011|Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|15,509.25,- Kč|Rostoucí       |15,222.00,- Kč             |287.25,- Kč                       |1.887 %                                 |
|2,011|Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|21,083.50,- Kč|Rostoucí       |20,264.75,- Kč             |818.75,- Kč                       |4.040 %                                 |
|2,011|Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|22,756.25,- Kč|Rostoucí       |22,740.25,- Kč             |16.00,- Kč                        |0.070 %                                 |
|2,011|Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|44,265.25,- Kč|Rostoucí       |42,807.25,- Kč             |1,458.00,- Kč                     |3.406 %                                 |
|2,011|Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|18,562.00,- Kč|Klesající      |18,610.50,- Kč             |-48.50,- Kč                       |-0.261 %                                |
|2,011|Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|17,610.75,- Kč|Rostoucí       |16,803.75,- Kč             |807.00,- Kč                       |4.802 %                                 |
|2,011|Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|46,568.50,- Kč|Rostoucí       |45,339.50,- Kč             |1,229.00,- Kč                     |2.711 %                                 |
|2,011|Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|30,475.50,- Kč|Rostoucí       |30,094.75,- Kč             |380.75,- Kč                       |1.265 %                                 |
|2,011|Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|22,494.25,- Kč|Rostoucí       |21,961.75,- Kč             |532.50,- Kč                       |2.425 %                                 |
|2,011|Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|31,445.75,- Kč|Rostoucí       |30,203.50,- Kč             |1,242.25,- Kč                     |4.113 %                                 |
|2,011|Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|12,431.25,- Kč|Klesající      |12,644.50,- Kč             |-213.25,- Kč                      |-1.687 %                                |
|2,011|Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|21,863.50,- Kč|Rostoucí       |21,210.50,- Kč             |653.00,- Kč                       |3.079 %                                 |
|2,011|Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|25,887.25,- Kč|Klesající      |26,470.50,- Kč             |-583.25,- Kč                      |-2.203 %                                |
|2,011|Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|39,844.75,- Kč|Rostoucí       |38,840.00,- Kč             |1,004.75,- Kč                     |2.587 %                                 |
|2,011|Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|21,502.25,- Kč|Rostoucí       |20,928.00,- Kč             |574.25,- Kč                       |2.744 %                                 |
|2,011|Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|22,752.50,- Kč|Rostoucí       |22,594.00,- Kč             |158.50,- Kč                       |0.702 %                                 |
|2,011|Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|23,176.25,- Kč|Rostoucí       |22,286.25,- Kč             |890.00,- Kč                       |3.993 %                                 |
|2,011|Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|18,674.00,- Kč|Rostoucí       |18,019.50,- Kč             |654.50,- Kč                       |3.632 %                                 |
|2,011|Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|23,500.50,- Kč|Rostoucí       |22,680.50,- Kč             |820.00,- Kč                       |3.615 %                                 |
|2,012|Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|15,935.00,- Kč|Rostoucí       |15,509.25,- Kč             |425.75,- Kč                       |2.745 %                                 |
|2,012|Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|21,438.50,- Kč|Rostoucí       |21,083.50,- Kč             |355.00,- Kč                       |1.684 %                                 |
|2,012|Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|22,998.50,- Kč|Rostoucí       |22,756.25,- Kč             |242.25,- Kč                       |1.065 %                                 |
|2,012|Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|45,689.50,- Kč|Rostoucí       |44,265.25,- Kč             |1,424.25,- Kč                     |3.218 %                                 |
|2,012|Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|19,550.50,- Kč|Rostoucí       |18,562.00,- Kč             |988.50,- Kč                       |5.325 %                                 |
|2,012|Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|17,853.00,- Kč|Rostoucí       |17,610.75,- Kč             |242.25,- Kč                       |1.376 %                                 |
|2,012|Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|49,706.50,- Kč|Rostoucí       |46,568.50,- Kč             |3,138.00,- Kč                     |6.738 %                                 |
|2,012|Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|31,141.25,- Kč|Rostoucí       |30,475.50,- Kč             |665.75,- Kč                       |2.185 %                                 |
|2,012|Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|22,571.75,- Kč|Rostoucí       |22,494.25,- Kč             |77.50,- Kč                        |0.345 %                                 |
|2,012|Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|32,487.00,- Kč|Rostoucí       |31,445.75,- Kč             |1,041.25,- Kč                     |3.311 %                                 |
|2,012|Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|12,705.75,- Kč|Rostoucí       |12,431.25,- Kč             |274.50,- Kč                       |2.208 %                                 |
|2,012|Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|22,441.00,- Kč|Rostoucí       |21,863.50,- Kč             |577.50,- Kč                       |2.641 %                                 |
|2,012|Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|26,285.25,- Kč|Rostoucí       |25,887.25,- Kč             |398.00,- Kč                       |1.537 %                                 |
|2,012|Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|42,107.25,- Kč|Rostoucí       |39,844.75,- Kč             |2,262.50,- Kč                     |5.678 %                                 |
|2,012|Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|21,912.50,- Kč|Rostoucí       |21,502.25,- Kč             |410.25,- Kč                       |1.908 %                                 |
|2,012|Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|23,261.75,- Kč|Rostoucí       |22,752.50,- Kč             |509.25,- Kč                       |2.238 %                                 |
|2,012|Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|23,621.50,- Kč|Rostoucí       |23,176.25,- Kč             |445.25,- Kč                       |1.921 %                                 |
|2,012|Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|19,537.00,- Kč|Rostoucí       |18,674.00,- Kč             |863.00,- Kč                       |4.621 %                                 |
|2,012|Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|24,221.75,- Kč|Rostoucí       |23,500.50,- Kč             |721.25,- Kč                       |3.069 %                                 |
|2,013|Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|16,026.00,- Kč|Rostoucí       |15,935.00,- Kč             |91.00,- Kč                        |0.571 %                                 |
|2,013|Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|21,094.00,- Kč|Klesající      |21,438.50,- Kč             |-344.50,- Kč                      |-1.607 %                                |
|2,013|Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|23,127.00,- Kč|Rostoucí       |22,998.50,- Kč             |128.50,- Kč                       |0.559 %                                 |
|2,013|Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|45,240.00,- Kč|Klesající      |45,689.50,- Kč             |-449.50,- Kč                      |-0.984 %                                |
|2,013|Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|19,293.00,- Kč|Klesající      |19,550.50,- Kč             |-257.50,- Kč                      |-1.317 %                                |
|2,013|Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|17,901.50,- Kč|Rostoucí       |17,853.00,- Kč             |48.50,- Kč                        |0.272 %                                 |
