|rok  |kod|nazev                                                       |datovy_typ                        |prumerna_hodnota|jednotka|
|2,017|         |Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|25,703          |Kč      |
|2,017|         |Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|33,462.25       |Kč      |
|2,017|         |Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|16,889          |Kč      |
|2,017|         |Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|26,957.5        |Kč      |
|2,017|         |Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|32,442.25       |Kč      |
|2,017|         |Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|43,218.75       |Kč      |
|2,017|         |Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|25,358.5        |Kč      |
|2,017|         |Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|26,575.75       |Kč      |
|2,017|         |Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|28,920          |Kč      |
|2,017|         |Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|23,531.25       |Kč      |
|2,017|         |Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|29,321          |Kč      |
|2,018|         |Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|20,165.5        |Kč      |
|2,018|         |Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|27,059.5        |Kč      |
|2,018|         |Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|29,135.75       |Kč      |
|2,018|         |Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|55,474.75       |Kč      |
|2,018|         |Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|26,761.75       |Kč      |
|2,018|         |Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|21,249.5        |Kč      |
|2,018|         |Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|53,339.5        |Kč      |
|2,018|         |Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|37,162.75       |Kč      |
